date,week
2014-11-13,98
2014-11-14,98
2014-11-15,98
2014-11-16,98
2014-11-17,99
2014-11-18,99
2014-11-19,99
2014-11-20,99
2014-11-21,99
2014-11-22,99
2014-11-23,99
2014-11-24,100
2014-11-25,100
2014-11-26,100
2014-11-27,100
2014-11-28,100
2014-11-29,100
2014-11-30,100
2014-12-01,101
2014-12-02,101
2014-12-03,101
2014-12-04,101
2014-12-05,101
2014-12-06,101
2014-12-07,101
2014-12-08,102
2014-12-09,102
2014-12-10,102
2014-12-11,102
2014-12-12,102
2014-12-13,102
2014-12-14,102
2014-12-15,103
2014-12-16,103
2014-12-17,103
2014-12-18,103
2014-12-19,103
2014-12-20,103
2014-12-21,103
2014-12-22,104
2014-12-23,104
2014-12-24,104
2014-12-25,104
2014-12-26,104
2014-12-27,104
2014-12-28,104
2014-12-29,105
2014-12-30,105
2014-12-31,105
