dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,num_residents,profile_type
4031,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2007,1946,1001,945,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 18:59:16-05,2014-02-06 23:46:13-06,2012-07-10 13:33:29-05,2015-05-30 23:58:53.003938-05,"","",2012-11-03 19:00:00-05,2015-05-31 02:51:00-05,"","","","","","","",yes,"","","","","",yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","","","",yes,"",yes,yes,yes,"","","","","",yes,yes,"","","","","","","","","",yes,"","","","",yes,"","","","","",3,2
4228,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,"",2011-02-01,"",2008,1240,620,620,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 18:59:56-05,2013-05-10 16:29:51-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,2
4671,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,"",2011-02-01,"",2008,1240,620,620,0,,,yes, , ,yes, , ,,"","",2012-04-11 18:59:31-05,2013-05-10 16:29:46-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
4726,yes,Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2009,1994,1001,993,0,,,yes, ,yes, , , ,,"","",2012-04-11 18:59:55-05,2013-05-10 16:29:56-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
5403,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2007,1720,1720,0,0,,,yes,yes,yes,yes, ,yes,,2014-09-12 16:30:02-05,2014-09-12 16:35:01-05,2012-04-12 17:11:37-05,2014-02-07 00:02:07-06,2012-05-01 12:00:00-05,2015-05-30 23:57:38.05529-05,"","",2012-05-22 19:00:00-05,2015-05-31 02:59:00-05,yes,"","","","","","",yes,yes,"","","",yes,yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","",yes,yes,"","","","","","","","","","",yes,"","","",yes,"","","","","","",yes,"","","","",yes,"","","","","",1,2
3039,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2010,3246,1706,1540,0,,,yes, ,yes, , ,yes,,"","",2012-04-11 18:51:24-05,2013-05-10 16:29:56-05,"","","","",2012-10-26 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","","","","","","","","","",yes,"","","",yes,yes,"",yes,yes,yes,"","","",yes,yes,"","","","","","","","","","","","","","",yes,"",yes,"","","",yes,"","","","","","",yes,"","","","",yes,"","",yes,yes,yes,4,3
3918,yes,Single-Family Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2008,3023,1473,1550,0,,,yes, ,yes, , , ,,"","",2012-04-11 18:59:49-05,2013-05-10 16:28:23-05,"","","","",2012-09-17 19:00:00-05,2015-05-31 03:59:00-05,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,3
7024,yes,Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,1576,778,798,0,,,yes, ,yes, ,yes, ,2,"","",2012-04-11 18:58:19-05,2013-05-10 15:26:39-05,"","","","",2014-02-12 18:00:00-06,2015-05-31 03:59:00-05,yes,"","","","",yes,"","","","","","",yes,yes,"","","",yes,yes,yes,"","",yes,"","","","",yes,"","","","","","",yes,yes,"","","","","","",yes,"",yes,yes,"","","","","","","","","",yes,"","","","",yes,"","","","","",,4
8317,yes,Town Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2008,1576,778,798,0,,,yes, ,yes,yes,yes, ,,"","",2012-04-11 18:57:03-05,2013-05-10 16:29:52-05,"","","","",2012-05-02 19:00:00-05,2015-05-31 02:59:00-05,yes,"","","","","","","","","","","","","","","","","","",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,4
7504,yes,Single-Family Home,"",yes,yes,"","",CCET - Text Message,"",Austin,Texas,yes,2011-02-01,"",,,,,,,,yes, , , , , ,,"","",2012-04-11 18:59:06-05,2013-05-10 16:23:44-05,"","","","",2012-12-11 18:00:00-06,2015-05-31 02:59:00-05,yes,"","","","","","","","","","","","","","","","",yes,"",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,0
3572,yes,Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2013-01-28,"",,,,,,,, , , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,0
6830,yes,Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,2075,2075,0,0,,,yes, ,yes, ,yes, ,,"","",2012-04-11 18:59:53-05,2013-05-10 16:29:19-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,1
5545,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2009,1994,1001,993,0,,,yes, ,yes,yes, , ,,"","",2012-04-11 18:57:24-05,2013-05-10 16:29:44-05,"","","","",2013-07-01 19:00:00-05,2015-05-31 02:57:00-05,yes,"","","","",yes,"","","","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","",yes,yes,"","","",yes,"","",yes,yes,yes,"","","","","","","",yes,"","","","","","","","","",yes,yes,"","","","",yes,"","","","","",,2
5785,yes,Single-Family Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2007,1842,1379,463,0,,,yes, ,yes, ,yes, ,,2015-03-27 15:00:01-05,2015-04-02 06:59:01-05,2012-04-11 18:59:44-05,2014-02-06 23:28:12-06,2012-07-10 13:00:00-05,2015-05-30 23:49:33.796107-05,"","",2012-05-02 19:00:00-05,2015-05-31 02:59:00-05,yes,"","","","","","","","","","","","","","","","","","",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
