"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 19:01:00-06";0.374;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.374;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:02:00-06";0.367;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.367;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:03:00-06";0.372;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.372;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:04:00-06";0.375;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.375;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:05:00-06";3.315;0.003;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.315;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;2.950;;
3299;"2013-12-31 19:06:00-06";3.698;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.698;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.340;;
3299;"2013-12-31 19:07:00-06";3.692;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.692;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.340;;
3299;"2013-12-31 19:08:00-06";0.664;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.664;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0.327;;
3299;"2013-12-31 19:09:00-06";0.294;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.294;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:10:00-06";0.192;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.192;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:11:00-06";0.131;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.131;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
